"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"05/05/2022";"05/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-8,12";"2.653,87"
"";"05/05/2022";"05/05/2022";"RECIBO IGUANA COMUNICACIONS S.L.";"-33,90";"2.661,99"
"";"04/05/2022";"04/05/2022";"RECIBO ANA MARIA POVEDA NAVARRO";"-150,00";"2.695,89"
"";"04/05/2022";"04/05/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-13,18";"2.845,89"
"";"04/05/2022";"04/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-9,95";"2.859,07"
"";"04/05/2022";"02/05/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-21,78";"2.869,02"
"";"04/05/2022";"02/05/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-18,03";"2.890,80"
"";"04/05/2022";"04/05/2022";"RECIBO PIJUAN";"-38,00";"2.908,83"
"";"03/05/2022";"03/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-26,99";"2.946,83"
"";"03/05/2022";"03/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-40,00";"2.973,82"
"";"03/05/2022";"03/05/2022";"TRANSFERENCIA IGRID S.L. ABONO NOMINA 04/2022";"1.926,00";"3.013,82"
"";"02/05/2022";"02/05/2022";"COMPRA TARJETA DEBITO/CREDITO CAPRABO 7876 TJ*0011";"-4,78";"1.087,82"
"";"02/05/2022";"02/05/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-14,92";"1.092,60"
"";"02/05/2022";"02/05/2022";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*5783";"-17,33";"1.107,52"
"";"02/05/2022";"02/05/2022";"RECIBO OALGT-ORPI";"-58,93";"1.124,85"
"";"02/05/2022";"02/05/2022";"RECIBO OALGT-ORPI";"-58,93";"1.183,78"
"";"30/04/2022";"30/04/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-14,89";"1.242,71"
